index,location,precipitation,temp_max,temp_min,wind,weather,Year,Month,Day
1155,Seattle,0.0,11.1,1.1,2.2,sun,2015,3,1
1186,Seattle,5.1,12.8,5.6,3.2,rain,2015,4,1
1216,Seattle,0.0,18.3,8.9,3.7,sun,2015,5,1
1247,Seattle,4.6,16.1,11.7,3.4,rain,2015,6,1
1277,Seattle,0.0,32.2,17.2,4.3,sun,2015,7,1
1308,Seattle,0.0,33.3,15.6,3.1,sun,2015,8,1
1339,Seattle,5.8,19.4,13.9,5.0,rain,2015,9,1
1369,Seattle,0.0,21.1,9.4,1.3,fog,2015,10,1
1400,Seattle,26.2,12.2,8.9,6.0,rain,2015,11,1
1430,Seattle,12.2,10.0,3.9,3.5,rain,2015,12,1
2557,New York,0.0,4.4,-2.1,7.7,sun,2015,1,1
2588,New York,0.8,2.2,-6.0,3.9,snow,2015,2,1
2616,New York,13.0,0.6,-6.6,2.1,snow,2015,3,1
2647,New York,0.0,11.7,1.1,5.1,sun,2015,4,1
2677,New York,0.0,13.3,8.3,3.6,sun,2015,5,1
2708,New York,19.8,17.2,11.1,5.4,rain,2015,6,1
2738,New York,6.6,29.4,21.7,6.1,rain,2015,7,1
2769,New York,0.0,32.8,23.3,5.6,sun,2015,8,1
2800,New York,0.0,30.6,22.8,3.1,sun,2015,9,1
2830,New York,2.0,16.1,13.3,6.7,rain,2015,10,1
2861,New York,0.0,17.8,12.2,5.4,sun,2015,11,1
2891,New York,7.4,11.7,7.8,4.9,rain,2015,12,1
1,Seattle,10.9,10.6,2.8,4.5,rain,2012,1,2
32,Seattle,0.0,8.3,1.7,2.6,sun,2012,2,2
61,Seattle,2.0,6.7,3.9,5.1,rain,2012,3,2
92,Seattle,0.0,16.7,4.4,3.1,sun,2012,4,2
122,Seattle,0.5,13.3,5.6,2.5,rain,2012,5,2
153,Seattle,0.3,18.9,10.6,3.7,rain,2012,6,2
183,Seattle,2.0,18.9,11.7,2.1,rain,2012,7,2
214,Seattle,0.0,23.3,12.2,2.5,sun,2012,8,2
245,Seattle,0.0,21.1,10.0,2.0,sun,2012,9,2
275,Seattle,0.0,17.8,10.0,4.1,sun,2012,10,2
306,Seattle,5.6,15.0,10.6,1.0,rain,2012,11,2
336,Seattle,19.6,8.3,7.2,6.2,rain,2012,12,2
1462,New York,0.0,10.0,0.6,8.7,sun,2012,1,2
1493,New York,0.0,10.6,2.2,5.7,sun,2012,2,2
1522,New York,3.8,6.1,0.6,5.4,rain,2012,3,2
1553,New York,2.5,14.4,4.4,8.4,rain,2012,4,2
1583,New York,0.8,12.2,10.6,3.6,rain,2012,5,2
1614,New York,20.6,24.4,16.7,6.3,rain,2012,6,2
1644,New York,0.0,31.7,22.2,4.2,rain,2012,7,2
1675,New York,0.0,30.0,21.7,4.9,drizzle,2012,8,2
1706,New York,0.0,27.2,21.7,3.0,rain,2012,9,2
1736,New York,8.4,21.7,17.2,2.6,rain,2012,10,2
1767,New York,0.0,12.2,6.1,6.5,rain,2012,11,2
1797,New York,1.0,10.0,5.0,2.7,rain,2012,12,2
367,Seattle,0.0,6.1,-1.1,3.2,sun,2013,1,2
398,Seattle,0.0,6.1,2.8,2.0,drizzle,2013,2,2
426,Seattle,0.8,13.9,5.0,4.5,rain,2013,3,2
457,Seattle,0.0,13.9,8.9,2.2,sun,2013,4,2
487,Seattle,0.0,20.6,6.7,4.0,sun,2013,5,2
518,Seattle,1.0,20.6,12.2,3.1,rain,2013,6,2
548,Seattle,0.0,28.3,15.6,3.0,sun,2013,7,2
579,Seattle,2.0,17.2,15.0,2.0,rain,2013,8,2
610,Seattle,0.0,27.8,17.2,2.1,sun,2013,9,2
640,Seattle,5.3,12.8,9.4,2.4,rain,2013,10,2
671,Seattle,12.7,14.4,8.3,7.9,rain,2013,11,2
701,Seattle,4.6,7.8,1.7,3.5,rain,2013,12,2
1828,New York,0.0,1.7,-5.0,6.5,sun,2013,1,2
1859,New York,0.5,-0.6,-6.7,5.9,snow,2013,2,2
1887,New York,0.0,5.0,0.0,5.5,snow,2013,3,2
1918,New York,0.0,7.2,0.6,7.3,sun,2013,4,2
1948,New York,0.0,17.2,6.7,2.7,sun,2013,5,2
1979,New York,0.3,23.3,17.2,5.8,rain,2013,6,2
2009,New York,6.4,26.1,21.7,5.4,rain,2013,7,2
2040,New York,0.0,29.4,20.0,4.6,fog,2013,8,2
2071,New York,0.0,27.8,22.2,2.7,sun,2013,9,2
2101,New York,0.0,29.4,15.6,4.1,sun,2013,10,2
2132,New York,0.0,19.4,11.7,3.2,sun,2013,11,2
2162,New York,0.0,10.6,3.3,1.9,sun,2013,12,2
732,Seattle,4.1,10.6,6.1,3.2,rain,2014,1,2
763,Seattle,0.0,8.9,1.1,2.5,sun,2014,2,2
791,Seattle,19.1,11.1,2.8,5.7,rain,2014,3,2
822,Seattle,0.0,14.4,5.6,4.2,sun,2014,4,2
852,Seattle,0.0,18.3,10.6,4.7,sun,2014,5,2
883,Seattle,0.0,23.3,11.1,2.4,sun,2014,6,2
913,Seattle,0.0,27.2,14.4,3.6,sun,2014,7,2
944,Seattle,0.5,29.4,15.6,1.7,rain,2014,8,2
975,Seattle,3.0,20.0,13.9,4.3,rain,2014,9,2
1005,Seattle,0.0,19.4,10.0,2.0,sun,2014,10,2
1036,Seattle,1.8,13.3,7.2,2.9,rain,2014,11,2
1066,Seattle,0.0,5.6,-3.2,5.7,fog,2014,12,2
2193,New York,3.3,0.6,-7.1,8.1,snow,2014,1,2
2224,New York,0.0,11.1,-1.0,3.2,sun,2014,2,2
2252,New York,0.0,6.1,-1.0,3.4,sun,2014,3,2
2283,New York,0.8,8.9,3.3,1.7,rain,2014,4,2
2313,New York,0.3,20.6,11.1,5.1,rain,2014,5,2
2344,New York,0.0,23.3,13.9,4.6,sun,2014,6,2
2374,New York,13.2,29.4,21.7,5.3,rain,2014,7,2
2405,New York,10.2,24.4,18.3,3.7,rain,2014,8,2
2436,New York,0.0,33.3,23.3,5.0,sun,2014,9,2
2466,New York,0.0,20.0,16.1,3.7,sun,2014,10,2
2497,New York,0.0,10.0,5.0,11.7,sun,2014,11,2
2527,New York,2.3,8.3,2.2,6.1,rain,2014,12,2
1097,Seattle,1.5,5.6,0.0,2.3,rain,2015,1,2
1128,Seattle,7.4,11.1,5.0,4.0,rain,2015,2,2
1156,Seattle,0.0,11.1,4.4,4.8,sun,2015,3,2
1187,Seattle,0.0,13.3,5.6,2.4,sun,2015,4,2
1217,Seattle,0.0,18.3,7.8,3.7,sun,2015,5,2
1248,Seattle,0.5,17.8,12.8,5.0,rain,2015,6,2
1278,Seattle,0.0,33.9,17.8,3.4,sun,2015,7,2
1309,Seattle,0.0,30.6,16.1,2.0,sun,2015,8,2
1340,Seattle,0.0,19.4,11.1,3.8,sun,2015,9,2
1370,Seattle,0.0,15.6,10.0,2.9,fog,2015,10,2
1401,Seattle,0.3,11.1,7.2,2.8,rain,2015,11,2
1431,Seattle,2.5,10.6,4.4,5.0,rain,2015,12,2
2558,New York,0.0,7.2,1.7,6.1,sun,2015,1,2
2589,New York,30.0,1.7,-9.3,8.5,snow,2015,2,2
2617,New York,0.0,3.9,-2.1,6.8,drizzle,2015,3,2
2648,New York,0.0,13.9,0.6,6.4,sun,2015,4,2
2678,New York,0.0,16.1,6.1,3.1,sun,2015,5,2
2709,New York,8.6,13.3,10.6,4.5,rain,2015,6,2
2739,New York,0.8,26.7,20.6,2.4,rain,2015,7,2
2770,New York,0.0,30.6,21.1,3.6,sun,2015,8,2
2801,New York,0.0,30.0,21.7,3.9,drizzle,2015,9,2
2831,New York,46.0,13.9,10.0,8.3,rain,2015,10,2
2862,New York,0.0,18.3,10.6,2.2,sun,2015,11,2
2892,New York,3.0,13.9,8.3,2.0,rain,2015,12,2
2,Seattle,0.8,11.7,7.2,2.3,rain,2012,1,3
33,Seattle,0.0,14.4,2.2,5.3,sun,2012,2,3
62,Seattle,0.0,12.2,6.7,7.0,sun,2012,3,3
93,Seattle,1.5,11.7,3.3,3.1,rain,2012,4,3
123,Seattle,18.5,11.1,7.2,3.4,rain,2012,5,3
154,Seattle,0.0,17.2,9.4,2.9,sun,2012,6,3
184,Seattle,5.8,18.3,10.6,6.0,rain,2012,7,3
215,Seattle,0.0,27.2,12.8,3.9,sun,2012,8,3
246,Seattle,0.0,22.8,12.8,3.3,sun,2012,9,3
276,Seattle,0.0,18.9,7.8,7.3,sun,2012,10,3
307,Seattle,0.5,15.6,11.1,3.6,rain,2012,11,3
337,Seattle,13.0,9.4,7.2,4.4,rain,2012,12,3
1463,New York,0.0,0.6,-8.9,8.2,sun,2012,1,3
1494,New York,0.0,7.2,-1.1,6.1,sun,2012,2,3
1523,New York,3.6,13.3,6.1,5.8,rain,2012,3,3
1554,New York,0.0,18.9,4.4,5.5,sun,2012,4,3
1584,New York,16.5,13.9,10.6,3.0,rain,2012,5,3
1615,New York,0.0,25.6,14.4,5.2,rain,2012,6,3
1645,New York,0.0,31.1,21.1,4.7,sun,2012,7,3
1676,New York,0.0,30.6,23.3,4.1,drizzle,2012,8,3
1707,New York,15.0,24.4,21.1,5.3,rain,2012,9,3
1737,New York,0.0,23.3,18.3,1.7,drizzle,2012,10,3
1768,New York,0.0,11.1,5.0,7.3,sun,2012,11,3
1798,New York,0.0,16.7,6.1,3.0,rain,2012,12,3
368,Seattle,4.1,6.7,-1.7,3.0,rain,2013,1,3
399,Seattle,2.3,8.9,2.8,2.9,rain,2013,2,3
427,Seattle,0.0,11.1,2.2,2.8,sun,2013,3,3
458,Seattle,0.0,16.7,7.8,1.6,sun,2013,4,3
488,Seattle,0.0,21.7,9.4,4.9,sun,2013,5,3
519,Seattle,0.0,22.2,11.1,2.9,sun,2013,6,3
549,Seattle,0.0,26.1,16.7,3.2,sun,2013,7,3
580,Seattle,0.0,25.0,15.6,2.4,fog,2013,8,3
611,Seattle,2.3,25.0,16.7,1.7,rain,2013,9,3
641,Seattle,0.8,14.4,8.9,0.9,rain,2013,10,3
672,Seattle,0.5,12.2,4.4,2.4,rain,2013,11,3
702,Seattle,0.0,5.0,-0.5,5.6,sun,2013,12,3
1829,New York,0.0,0.6,-3.9,5.2,sun,2013,1,3
1860,New York,0.8,0.0,-5.6,3.2,snow,2013,2,3
1888,New York,0.0,5.6,-1.7,6.6,snow,2013,3,3
1919,New York,0.0,8.9,0.6,8.1,sun,2013,4,3
1949,New York,0.0,16.1,8.3,3.8,sun,2013,5,3
1980,New York,9.4,24.4,16.7,3.8,rain,2013,6,3
2010,New York,2.3,27.2,21.1,4.3,rain,2013,7,3
2041,New York,0.0,25.6,21.1,5.0,sun,2013,8,3
2072,New York,0.3,29.4,20.6,4.1,rain,2013,9,3
2102,New York,0.0,25.0,15.6,2.8,sun,2013,10,3
2133,New York,0.0,13.3,3.3,6.5,sun,2013,11,3
2163,New York,0.0,12.2,3.3,2.7,fog,2013,12,3
733,Seattle,1.5,8.9,2.8,2.6,rain,2014,1,3
764,Seattle,0.0,5.0,0.0,4.3,sun,2014,2,3
792,Seattle,10.7,14.4,8.9,5.1,rain,2014,3,3
823,Seattle,2.5,13.3,6.1,3.9,rain,2014,4,3
853,Seattle,33.3,15.0,8.9,3.4,rain,2014,5,3
884,Seattle,0.0,18.3,11.1,3.2,sun,2014,6,3
914,Seattle,0.0,21.7,13.9,3.1,sun,2014,7,3
945,Seattle,0.0,31.7,14.4,2.6,sun,2014,8,3
976,Seattle,0.0,20.6,12.8,2.7,sun,2014,9,3
1006,Seattle,0.0,22.2,8.9,1.0,sun,2014,10,3
1037,Seattle,10.9,13.9,11.1,4.8,rain,2014,11,3
1067,Seattle,0.0,10.0,0.0,3.6,sun,2014,12,3
2194,New York,5.6,-7.1,-12.7,8.8,snow,2014,1,3
2225,New York,27.4,6.7,-2.1,5.4,snow,2014,2,3
2253,New York,1.0,1.7,-7.7,6.2,snow,2014,3,3
2284,New York,2.0,17.2,3.9,2.6,rain,2014,4,3
2314,New York,0.0,18.9,9.4,4.5,sun,2014,5,3
2345,New York,0.0,26.7,16.7,3.4,sun,2014,6,3
2375,New York,8.9,29.4,21.7,3.9,rain,2014,7,3
2406,New York,2.3,25.6,18.9,2.1,rain,2014,8,3
2437,New York,0.0,31.1,22.2,4.2,sun,2014,9,3
2467,New York,0.0,20.0,12.8,3.2,sun,2014,10,3
2498,New York,0.0,16.1,4.4,6.7,sun,2014,11,3
2528,New York,3.8,8.9,5.6,5.1,rain,2014,12,3
1098,Seattle,0.0,5.0,1.7,1.7,fog,2015,1,3
1129,Seattle,1.3,10.0,5.6,1.9,rain,2015,2,3
1157,Seattle,0.0,10.6,0.0,2.1,sun,2015,3,3
1188,Seattle,1.5,11.1,5.0,3.6,rain,2015,4,3
1218,Seattle,0.0,20.6,7.8,2.6,sun,2015,5,3
1249,Seattle,0.0,20.0,11.7,3.0,sun,2015,6,3
1279,Seattle,0.0,33.3,17.8,2.6,sun,2015,7,3
1310,Seattle,0.0,28.3,17.2,2.3,sun,2015,8,3
1341,Seattle,0.0,18.3,10.6,2.9,sun,2015,9,3
1371,Seattle,0.0,19.4,11.1,4.8,sun,2015,10,3
1402,Seattle,0.8,10.6,5.0,1.4,rain,2015,11,3
1432,Seattle,12.7,15.6,7.8,5.9,rain,2015,12,3
2559,New York,23.9,8.3,-1.0,4.1,rain,2015,1,3
2590,New York,0.0,-3.2,-9.9,6.4,sun,2015,2,3
2618,New York,17.8,2.2,-7.1,4.0,snow,2015,3,3
2649,New York,2.8,15.0,7.8,3.4,rain,2015,4,3
2679,New York,0.0,19.4,7.8,3.4,sun,2015,5,3
2710,New York,0.0,20.0,11.7,3.9,sun,2015,6,3
2740,New York,0.0,27.8,18.3,3.8,sun,2015,7,3
2771,New York,0.0,31.7,21.7,5.9,sun,2015,8,3
2802,New York,0.0,33.9,22.8,2.4,sun,2015,9,3
2832,New York,4.1,13.9,10.6,8.7,rain,2015,10,3
2863,New York,0.0,21.1,7.2,2.0,fog,2015,11,3
2893,New York,0.0,13.3,7.2,7.2,sun,2015,12,3
3,Seattle,20.3,12.2,5.6,4.7,rain,2012,1,4
34,Seattle,0.0,15.6,5.0,4.3,sun,2012,2,4
63,Seattle,0.0,10.6,6.7,5.6,rain,2012,3,4
94,Seattle,0.0,10.6,2.8,2.1,sun,2012,4,4
124,Seattle,1.8,12.2,6.1,4.6,rain,2012,5,4
155,Seattle,1.3,12.8,8.9,3.1,rain,2012,6,4
185,Seattle,0.0,20.6,9.4,3.8,sun,2012,7,4
216,Seattle,0.0,33.9,16.7,3.7,sun,2012,8,4
247,Seattle,0.0,24.4,11.1,3.1,sun,2012,9,4
277,Seattle,0.0,18.9,8.3,6.5,sun,2012,10,4
308,Seattle,8.1,17.8,12.8,3.8,rain,2012,11,4
338,Seattle,14.2,11.7,7.2,6.2,rain,2012,12,4
1464,New York,0.0,-1.7,-10.6,5.5,sun,2012,1,4
1495,New York,0.0,8.3,1.7,4.3,sun,2012,2,4
1524,New York,0.0,8.3,2.2,5.6,sun,2012,3,4
1555,New York,0.0,21.1,8.3,6.7,sun,2012,4,4
1585,New York,7.1,20.6,11.7,2.5,rain,2012,5,4
1616,New York,5.6,18.3,12.2,5.2,rain,2012,6,4
1646,New York,1.0,31.7,22.2,4.6,rain,2012,7,4
1677,New York,0.0,31.1,23.3,4.3,drizzle,2012,8,4
1708,New York,15.7,26.7,21.7,4.4,rain,2012,9,4
1738,New York,10.4,23.9,19.4,1.5,rain,2012,10,4
1769,New York,0.0,11.7,3.9,5.7,sun,2012,11,4
1799,New York,0.5,14.4,6.1,4.1,rain,2012,12,4
369,Seattle,2.5,10.0,2.2,2.8,rain,2013,1,4
400,Seattle,0.0,10.6,6.7,2.6,rain,2013,2,4
428,Seattle,0.0,13.3,0.0,3.9,sun,2013,3,4
459,Seattle,8.4,14.4,10.0,3.0,rain,2013,4,4
489,Seattle,0.0,25.0,11.1,6.5,sun,2013,5,4
520,Seattle,0.0,26.1,12.2,3.4,sun,2013,6,4
550,Seattle,0.0,21.7,13.9,2.2,fog,2013,7,4
581,Seattle,0.0,28.9,15.0,3.4,sun,2013,8,4
612,Seattle,0.3,22.8,16.1,2.4,rain,2013,9,4
642,Seattle,0.0,17.8,5.6,1.1,sun,2013,10,4
673,Seattle,0.0,10.6,3.9,1.6,drizzle,2013,11,4
703,Seattle,0.0,4.4,-2.1,1.6,sun,2013,12,4
1830,New York,0.0,3.9,-1.1,7.3,sun,2013,1,4
1861,New York,0.0,0.0,-4.4,7.1,sun,2013,2,4
1889,New York,0.0,6.7,-2.8,8.9,sun,2013,3,4
1920,New York,0.0,7.2,0.0,5.2,sun,2013,4,4
1950,New York,0.0,17.8,7.2,4.0,sun,2013,5,4
1981,New York,0.0,24.4,15.0,5.9,drizzle,2013,6,4
2011,New York,0.0,28.9,22.2,4.7,fog,2013,7,4
2042,New York,0.0,28.3,19.4,4.9,sun,2013,8,4
2073,New York,0.0,27.8,18.9,5.9,sun,2013,9,4
2103,New York,0.0,26.7,16.7,2.9,sun,2013,10,4
2134,New York,0.0,8.9,1.1,4.4,sun,2013,11,4
2164,New York,0.0,10.6,1.7,1.7,sun,2013,12,4
734,Seattle,0.0,7.8,0.6,2.7,fog,2014,1,4
765,Seattle,0.0,2.8,-2.1,4.7,sun,2014,2,4
793,Seattle,16.5,13.9,7.8,3.9,rain,2014,3,4
824,Seattle,0.0,12.8,6.1,4.7,sun,2014,4,4
854,Seattle,16.0,14.4,8.9,4.2,rain,2014,5,4
885,Seattle,0.0,19.4,10.0,2.6,sun,2014,6,4
915,Seattle,0.0,23.9,13.9,3.6,sun,2014,7,4
946,Seattle,0.0,32.8,16.1,2.6,sun,2014,8,4
977,Seattle,0.0,23.9,11.1,3.1,fog,2014,9,4
1007,Seattle,0.0,21.7,12.2,1.2,sun,2014,10,4
1038,Seattle,4.1,14.4,10.6,3.3,rain,2014,11,4
1068,Seattle,0.8,8.3,3.9,1.1,rain,2014,12,4
2195,New York,0.0,-0.5,-16.0,3.2,sun,2014,1,4
2226,New York,0.0,1.7,-5.5,2.6,sun,2014,2,4
2254,New York,0.0,-1.6,-10.5,3.5,sun,2014,3,4
2285,New York,2.5,7.2,5.0,6.2,rain,2014,4,4
2315,New York,0.0,18.9,11.7,8.3,sun,2014,5,4
2346,New York,0.0,27.8,17.2,3.3,sun,2014,6,4
2376,New York,8.1,24.4,18.9,6.7,rain,2014,7,4
2407,New York,0.0,27.2,21.1,4.4,sun,2014,8,4
2438,New York,0.0,29.4,20.0,3.8,fog,2014,9,4
2468,New York,17.8,22.2,11.1,7.3,rain,2014,10,4
2499,New York,0.0,19.4,10.0,4.5,sun,2014,11,4
2529,New York,0.0,8.3,2.2,4.5,sun,2014,12,4
1099,Seattle,10.2,10.6,3.3,4.5,rain,2015,1,4
1130,Seattle,8.4,10.6,4.4,1.7,rain,2015,2,4
1158,Seattle,0.0,12.8,-0.5,1.8,sun,2015,3,4
1189,Seattle,0.0,12.8,3.9,1.7,sun,2015,4,4
1219,Seattle,0.0,17.2,7.2,5.2,sun,2015,5,4
1250,Seattle,0.0,22.8,11.7,3.9,sun,2015,6,4
1280,Seattle,0.0,33.3,15.0,2.9,sun,2015,7,4
1311,Seattle,0.0,26.1,14.4,2.6,fog,2015,8,4
1342,Seattle,0.0,18.3,10.0,2.9,sun,2015,9,4
1372,Seattle,0.0,22.8,10.0,3.7,sun,2015,10,4
1403,Seattle,0.0,10.0,3.3,2.2,sun,2015,11,4
1433,Seattle,2.0,10.6,6.1,4.7,rain,2015,12,4
2560,New York,11.9,12.8,6.1,4.5,rain,2015,1,4
2591,New York,0.0,3.9,-5.5,6.1,sun,2015,2,4
2619,New York,7.6,5.0,0.6,4.9,rain,2015,3,4
2650,New York,0.0,13.3,6.7,9.3,fog,2015,4,4
2680,New York,0.0,23.3,10.0,4.5,sun,2015,5,4
2711,New York,0.0,19.4,12.8,5.1,sun,2015,6,4
2741,New York,0.3,26.7,19.4,2.6,rain,2015,7,4
2772,New York,0.3,33.3,21.1,5.2,rain,2015,8,4
2803,New York,0.0,29.4,21.1,4.9,drizzle,2015,9,4
2833,New York,0.0,18.9,12.2,6.9,sun,2015,10,4
2864,New York,0.0,20.6,10.0,2.8,fog,2015,11,4
2894,New York,0.0,11.7,5.0,4.7,sun,2015,12,4
4,Seattle,1.3,8.9,2.8,6.1,rain,2012,1,5
35,Seattle,0.0,13.9,1.7,2.9,sun,2012,2,5
64,Seattle,6.9,7.8,1.1,6.2,rain,2012,3,5
95,Seattle,4.6,9.4,2.8,1.8,snow,2012,4,5
125,Seattle,0.0,13.3,5.0,2.3,sun,2012,5,5
156,Seattle,16.0,13.3,8.3,3.3,rain,2012,6,5
186,Seattle,0.0,24.4,10.6,3.1,drizzle,2012,7,5
217,Seattle,0.0,33.9,17.8,1.9,sun,2012,8,5
248,Seattle,0.0,26.1,11.7,2.6,sun,2012,9,5
278,Seattle,0.0,21.7,8.9,5.7,sun,2012,10,5
309,Seattle,0.8,15.0,7.8,4.0,rain,2012,11,5
339,Seattle,1.5,8.9,4.4,5.0,rain,2012,12,5
1465,New York,0.0,5.6,-3.3,5.4,sun,2012,1,5
1496,New York,0.0,5.0,0.6,3.8,sun,2012,2,5
1525,New York,0.0,7.8,-1.7,7.6,sun,2012,3,5
1556,New York,0.0,15.0,5.6,5.0,sun,2012,4,5
1586,New York,1.8,15.0,12.8,2.5,rain,2012,5,5
1617,New York,0.0,19.4,10.6,3.2,rain,2012,6,5
1647,New York,0.0,35.0,25.0,4.0,sun,2012,7,5
1678,New York,4.6,30.6,22.8,7.4,rain,2012,8,5
1709,New York,4.1,28.9,22.2,4.4,rain,2012,9,5
1739,New York,0.0,25.0,16.1,3.5,drizzle,2012,10,5
1770,New York,0.0,8.3,2.2,6.0,sun,2012,11,5
1800,New York,0.0,13.3,1.7,7.6,rain,2012,12,5
370,Seattle,3.0,6.7,4.4,3.1,rain,2013,1,5
401,Seattle,3.3,10.0,6.7,5.1,rain,2013,2,5
429,Seattle,0.0,9.4,6.1,2.4,rain,2013,3,5
460,Seattle,18.5,13.9,10.0,5.6,rain,2013,4,5
490,Seattle,0.0,28.9,11.7,5.3,sun,2013,5,5
521,Seattle,0.0,26.7,14.4,3.1,sun,2013,6,5
551,Seattle,0.0,23.3,13.9,2.6,sun,2013,7,5
582,Seattle,0.0,30.0,15.0,2.1,sun,2013,8,5
613,Seattle,27.7,20.0,15.6,2.5,rain,2013,9,5
643,Seattle,0.0,20.0,8.3,1.6,sun,2013,10,5
674,Seattle,2.5,13.3,7.2,3.1,rain,2013,11,5
704,Seattle,0.0,1.1,-4.9,2.6,sun,2013,12,5
1831,New York,0.0,7.2,0.0,5.2,sun,2013,1,5
1862,New York,0.3,0.0,-2.2,2.5,snow,2013,2,5
1890,New York,0.0,8.9,-0.6,4.6,sun,2013,3,5
1921,New York,0.0,17.8,4.4,5.6,sun,2013,4,5
